@relation soybean-pn
@attribute date{october,august,july,september,may,april,june}
@attribute plant-stand{normal,lt-normal}
@attribute precip{gt-norm,lt-norm,norm}
@attribute temp{norm,gt-norm,lt-norm}
@attribute hail{yes,no}
@attribute crop-hist{same-lst-yr,same-lst-two-yrs,same-lst-sev-yrs,diff-lst-year}
@attribute area-damaged{low-areas,scattered,whole-field,upper-areas}
@attribute severity{pot-severe,severe,minor}
@attribute seed-tmt{none,fungicide,other}
@attribute germination{90-100,80-89,lt-80}
@attribute plant-growth{abnorm,norm}
@attribute leaves{abnorm,norm}
@attribute leafspots-halo{absent,no-yellow-halos,yellow-halos}
@attribute leafspots-marg{dna,w-s-marg,no-w-s-marg}
@attribute leafspot-size{dna,gt-1/8,lt-1/8}
@attribute leaf-shread{absent,present}
@attribute leaf-malf{absent,present}
@attribute leaf-mild{absent,upper-surf,lower-surf}
@attribute stem{abnorm,norm}
@attribute lodging{no,yes}
@attribute stem-cankers{above-sec-nde,absent,below-soil,above-soil}
@attribute canker-lesion{brown,dna,tan,dk-brown-blk}
@attribute fruiting-bodies{present,absent}
@attribute external-decay{firm-and-dry,absent,watery}
@attribute mycelium{absent,present}
@attribute int-discolor{none,black,brown}
@attribute sclerotia{absent,present}
@attribute fruit-pods{norm,dna,diseased,few-present}
@attribute fruit-spots{dna,absent,colored,brown-w/blk-specks}
@attribute seed{norm,abnorm}
@attribute mold-growth{absent,present}
@attribute seed-discolor{absent,present}
@attribute seed-size{norm,lt-norm}
@attribute shriveling{absent,present}
@attribute roots{norm,rotted,galls-cysts}
@attribute y{n,p}
@inputs date, plant-stand, precip, temp, hail, crop-hist, area-damaged, severity, seed-tmt, germination, plant-growth, leaves, leafspots-halo, leafspots-marg, leafspot-size, leaf-shread, leaf-malf, leaf-mild, stem, lodging, stem-cankers, canker-lesion, fruiting-bodies, external-decay, mycelium, int-discolor, sclerotia, fruit-pods, fruit-spots, seed, mold-growth, seed-discolor, seed-size, shriveling, roots
@outputs y
@data
june,lt-normal,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
july,lt-normal,norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
august,lt-normal,norm,norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
may,lt-normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,absent,dk-brown-blk,absent,watery,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
june,lt-normal,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
july,lt-normal,norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
may,lt-normal,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,absent,dk-brown-blk,absent,watery,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
june,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
july,lt-normal,gt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
may,lt-normal,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,absent,dk-brown-blk,absent,watery,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
june,lt-normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
july,lt-normal,norm,norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
august,lt-normal,norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
may,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,watery,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
june,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
july,lt-normal,norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
august,lt-normal,norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
may,lt-normal,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,watery,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
june,lt-normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
july,lt-normal,norm,norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
june,lt-normal,norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
july,lt-normal,norm,norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
july,lt-normal,norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,n
july,normal,lt-norm,lt-norm,no,same-lst-yr,scattered,severe,none,90-100,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
august,normal,norm,lt-norm,no,same-lst-two-yrs,upper-areas,pot-severe,fungicide,80-89,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
july,normal,lt-norm,lt-norm,no,same-lst-sev-yrs,upper-areas,severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
september,normal,lt-norm,norm,no,same-lst-sev-yrs,scattered,pot-severe,none,90-100,abnorm,abnorm,no-yellow-halos,w-s-marg,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
october,normal,lt-norm,norm,no,same-lst-two-yrs,low-areas,pot-severe,fungicide,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
august,normal,norm,lt-norm,no,same-lst-sev-yrs,upper-areas,severe,none,lt-80,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
september,normal,lt-norm,gt-norm,yes,same-lst-two-yrs,whole-field,pot-severe,none,lt-80,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
september,normal,lt-norm,norm,yes,same-lst-yr,scattered,pot-severe,fungicide,90-100,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
august,normal,lt-norm,norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
september,normal,lt-norm,norm,yes,same-lst-two-yrs,whole-field,pot-severe,none,lt-80,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
september,normal,lt-norm,norm,yes,same-lst-two-yrs,upper-areas,pot-severe,fungicide,80-89,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
july,lt-normal,norm,lt-norm,yes,same-lst-two-yrs,scattered,severe,none,lt-80,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
september,lt-normal,norm,norm,yes,same-lst-two-yrs,whole-field,severe,none,90-100,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
august,lt-normal,lt-norm,lt-norm,yes,same-lst-two-yrs,upper-areas,severe,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
september,lt-normal,norm,lt-norm,yes,same-lst-sev-yrs,whole-field,pot-severe,fungicide,lt-80,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
august,lt-normal,norm,lt-norm,yes,same-lst-sev-yrs,low-areas,pot-severe,fungicide,90-100,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
october,lt-normal,norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,fungicide,80-89,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,n
july,normal,lt-norm,norm,yes,same-lst-two-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
september,normal,lt-norm,gt-norm,yes,same-lst-sev-yrs,scattered,pot-severe,none,lt-80,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
july,normal,lt-norm,norm,yes,same-lst-two-yrs,upper-areas,pot-severe,fungicide,80-89,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
august,normal,lt-norm,norm,yes,same-lst-yr,whole-field,pot-severe,none,90-100,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
september,normal,lt-norm,gt-norm,yes,same-lst-two-yrs,scattered,pot-severe,fungicide,90-100,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
august,normal,lt-norm,norm,yes,same-lst-yr,scattered,pot-severe,none,90-100,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
september,normal,lt-norm,gt-norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,fungicide,80-89,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
may,normal,lt-norm,lt-norm,no,diff-lst-year,scattered,minor,none,90-100,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
june,normal,norm,norm,no,same-lst-yr,low-areas,pot-severe,fungicide,80-89,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
july,normal,gt-norm,lt-norm,no,same-lst-two-yrs,upper-areas,minor,none,lt-80,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
august,normal,lt-norm,norm,no,same-lst-sev-yrs,whole-field,pot-severe,none,90-100,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
september,normal,norm,lt-norm,no,diff-lst-year,scattered,minor,none,80-89,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
august,normal,norm,lt-norm,no,same-lst-two-yrs,upper-areas,minor,fungicide,90-100,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
july,lt-normal,lt-norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,fungicide,lt-80,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
august,lt-normal,norm,lt-norm,yes,diff-lst-year,scattered,minor,other,90-100,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
june,lt-normal,norm,lt-norm,yes,diff-lst-year,scattered,minor,none,80-89,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
september,lt-normal,lt-norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,none,80-89,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,n
july,normal,gt-norm,lt-norm,no,same-lst-two-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,yellow-halos,w-s-marg,gt-1/8,absent,absent,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm,n
august,normal,gt-norm,norm,no,same-lst-sev-yrs,whole-field,pot-severe,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,present,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm,n
september,normal,gt-norm,norm,no,same-lst-yr,scattered,pot-severe,none,80-89,norm,abnorm,yellow-halos,w-s-marg,gt-1/8,absent,absent,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm,n
june,normal,gt-norm,lt-norm,no,diff-lst-year,whole-field,pot-severe,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm,n
july,normal,gt-norm,norm,no,same-lst-yr,scattered,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,present,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm,n
october,lt-normal,gt-norm,lt-norm,yes,same-lst-yr,whole-field,minor,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,present,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm,n
july,lt-normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,low-areas,pot-severe,fungicide,lt-80,norm,abnorm,yellow-halos,w-s-marg,gt-1/8,absent,absent,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm,n
september,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,whole-field,minor,fungicide,lt-80,norm,abnorm,yellow-halos,w-s-marg,gt-1/8,absent,absent,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm,n
july,lt-normal,gt-norm,norm,yes,same-lst-yr,low-areas,minor,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm,n
september,lt-normal,gt-norm,lt-norm,yes,same-lst-sev-yrs,whole-field,minor,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm,n
may,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
june,normal,gt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
july,normal,gt-norm,norm,yes,same-lst-two-yrs,whole-field,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
june,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
june,normal,gt-norm,norm,yes,same-lst-two-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,abnorm,yes,above-sec-nde,brown,present,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
september,normal,gt-norm,norm,yes,same-lst-two-yrs,whole-field,severe,fungicide,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,absent,tan,present,firm-and-dry,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
june,normal,gt-norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,fungicide,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
may,normal,gt-norm,norm,yes,same-lst-two-yrs,whole-field,pot-severe,other,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
june,lt-normal,norm,norm,no,same-lst-two-yrs,upper-areas,pot-severe,fungicide,lt-80,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
july,lt-normal,gt-norm,gt-norm,no,same-lst-yr,low-areas,minor,other,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,brown,absent,absent,absent,none,absent,diseased,brown-w/blk-specks,norm,absent,absent,norm,absent,norm,p
april,normal,norm,norm,yes,diff-lst-year,scattered,minor,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
may,normal,gt-norm,gt-norm,yes,same-lst-yr,low-areas,minor,fungicide,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
june,normal,norm,norm,yes,same-lst-two-yrs,upper-areas,pot-severe,other,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
july,normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,whole-field,minor,none,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,brown,absent,absent,absent,none,absent,norm,colored,norm,absent,absent,norm,absent,norm,p
august,normal,norm,norm,yes,same-lst-yr,scattered,pot-severe,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,absent,absent,none,absent,diseased,brown-w/blk-specks,norm,absent,absent,norm,absent,norm,p
april,normal,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,other,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
may,normal,norm,norm,yes,same-lst-sev-yrs,upper-areas,minor,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
june,normal,gt-norm,gt-norm,yes,same-lst-yr,whole-field,minor,fungicide,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
april,normal,norm,norm,yes,same-lst-two-yrs,scattered,minor,other,lt-80,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
may,lt-normal,gt-norm,gt-norm,no,same-lst-sev-yrs,low-areas,minor,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
may,normal,gt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
june,normal,gt-norm,norm,yes,same-lst-two-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
july,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
august,normal,gt-norm,norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,abnorm,yes,above-sec-nde,brown,present,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
september,normal,gt-norm,norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,p
